DateTime,Latitude,Longitude,Depth,Magnitude,MagType,NbStations,Gap,Distance,RMS,Source,EventID,Version
2012-01-02T05:59:14.880+00:00,-43.468,172.875,15.6,4.5,mb,104,101,,,pde,pde20120102055914880_15,1363392491121
2012-01-02T06:32:55.600+00:00,50.752,178.222,20.0,4.2,mb,41,140,,,pde,pde20120102063255600_20,1363392491147
2012-01-02T06:53:48.190+00:00,-6.510,154.825,35.0,4.2,mb,15,153,,1.28,pde,pde20120102065348190_35,1363392491171
2012-01-02T08:55:15.720+00:00,51.575,178.220,105.2,4.9,mb,279,129,,,pde,pde20120102085515720_105,1363392491187
2012-01-02T09:15:41.510+00:00,-52.800,26.520,10.0,4.1,mb,21,119,,1.20,pde,pde20120102091541510_10,1363392491292
2012-01-02T09:22:08.600+00:00,16.090,-94.555,60.4,4.0,md,6,152,,,pde,pde20120102092208600_60,1363392491297
2012-01-02T09:39:56.410+00:00,16.305,-46.542,10.0,4.9,mb,90,31,,0.89,pde,pde20120102093956410_10,1363392491389
2012-01-02T09:57:01.710+00:00,-38.654,175.274,210.5,4.1,ml,85,119,,,pde,pde20120102095701710_210,1363392491415
2012-01-02T13:07:08.710+00:00,-3.430,150.708,10.0,4.7,mb,36,90,,1.45,pde,pde20120102130708710_10,1363392491441
2012-01-02T16:06:25.110+00:00,52.180,-171.752,61.0,4.2,mb,47,139,,0.96,pde,pde20120102160625110_61,1363392491596
2012-01-02T16:11:16.280+00:00,-13.353,66.498,10.0,4.2,mb,9,235,,0.56,pde,pde20120102161116280_10,1363392491608
2012-01-02T17:09:51.050+00:00,-11.060,165.779,83.4,4.3,mb,14,126,,1.01,pde,pde20120102170951050_83,1363392491610
2012-01-02T18:28:25.810+00:00,36.358,141.649,18.6,4.9,mb,186,93,,1.01,pde,pde20120102182825810_18,1363392491614
2012-01-02T19:34:58.340+00:00,36.350,141.871,31.6,4.8,mb,86,119,,0.75,pde,pde20120102193458340_31,1363392491674
2012-01-02T19:58:17.430+00:00,-19.969,-177.735,549.1,4.5,mb,25,173,,1.13,pde,pde20120102195817430_549,1363392491719
2012-01-02T23:20:14.720+00:00,-14.879,-172.942,10.0,4.4,mb,14,71,,1.25,pde,pde20120102232014720_10,1363392491862
2012-01-03T03:06:23.340+00:00,54.461,-162.767,59.4,4.1,mb,75,153,,,pde,pde20120103030623340_59,1363392491927
2012-01-03T07:40:01.640+00:00,39.836,77.286,43.7,4.5,mb,39,101,,0.95,pde,pde20120103074001640_43,1363392492021
2012-01-03T08:41:37.140+00:00,54.250,-165.226,98.1,4.3,mb,107,142,,,pde,pde20120103084137140_98,1363392492031
2012-01-03T08:53:06.760+00:00,11.944,143.593,35.0,4.3,mb,19,152,,0.68,pde,pde20120103085306760_35,1363392492053
2012-01-03T09:39:40.670+00:00,-33.551,-178.297,10.0,4.4,mb,8,174,,0.37,pde,pde20120103093940670_10,1363392492058
2012-01-03T11:37:54.810+00:00,-0.983,126.984,18.8,4.5,mb,25,85,,1.13,pde,pde20120103113754810_18,1363392492079
2012-01-03T12:20:17.700+00:00,49.389,156.144,52.5,4.9,mb,197,110,,0.79,pde,pde20120103122017700_52,1363392492257
2012-01-03T13:57:51.280+00:00,28.571,142.823,10.0,4.6,mb,21,119,,1.00,pde,pde20120103135751280_10,1363392492727
2012-01-03T14:18:56.110+00:00,33.195,-119.449,18.4,4.1,ml,69,208,,,pde,pde20120103141856110_18,1363392492738
2012-01-03T15:40:02.350+00:00,12.689,143.737,35.8,5.2,mb,66,45,,0.84,pde,pde20120103154002350_35,1363392492748
2012-01-03T17:05:08.140+00:00,-18.715,-175.116,212.1,4.6,mb,25,157,,1.31,pde,pde20120103170508140_212,1363392493152
2012-01-03T17:32:29.830+00:00,7.787,92.095,43.8,4.7,mb,42,129,,0.79,pde,pde20120103173229830_43,1363392493315
2012-01-03T19:04:17.170+00:00,45.420,148.505,139.2,4.6,mb,106,52,,0.73,pde,pde20120103190417170_139,1363392493338
2012-01-03T20:36:48.120+00:00,35.776,77.346,62.9,4.6,mb,42,136,,1.03,pde,pde20120103203648120_62,1363392493364
2012-01-03T20:59:34.500+00:00,16.725,-95.303,131.7,4.0,mb,7,103,,,pde,pde20120103205934500_131,1363392493514
2012-01-03T21:50:22.000+00:00,-36.994,-74.084,25.1,4.6,mb,38,152,,,pde,pde20120103215022000_25,1363392493631
2012-01-03T22:32:48.630+00:00,13.002,-88.296,93.5,4.5,mb,35,110,,1.25,pde,pde20120103223248630_93,1363392493640
2012-01-03T22:42:11.730+00:00,6.089,60.691,10.0,4.5,mb,32,121,,1.00,pde,pde20120103224211730_10,1363392493648
2012-01-03T23:14:14.660+00:00,26.894,143.667,10.0,4.4,mb,48,98,,0.84,pde,pde20120103231414660_10,1363392493656
2012-01-03T23:29:47.180+00:00,26.935,143.709,10.0,4.5,mb,37,105,,0.82,pde,pde20120103232947180_10,1363392493668
2012-01-03T23:30:07.070+00:00,26.938,143.786,10.0,4.6,mb,32,95,,1.03,pde,pde20120103233007070_10,1363392493677
2012-01-04T00:34:17.830+00:00,27.003,143.742,10.0,4.5,mb,40,115,,0.84,pde,pde20120104003417830_10,1363392493706
2012-01-04T00:47:25.530+00:00,27.040,143.822,10.0,4.4,mb,31,115,,1.18,pde,pde20120104004725530_10,1363392493715
2012-01-04T01:07:24.240+00:00,-33.866,-178.386,24.6,4.6,mb,37,129,,1.10,pde,pde20120104010724240_24,1363392493724
2012-01-04T01:07:25.230+00:00,11.922,143.685,35.0,4.5,mb,25,64,,1.07,pde,pde20120104010725230_35,1363392493732
2012-01-04T01:49:13.320+00:00,26.979,143.728,10.0,4.8,mb,148,50,,0.92,pde,pde20120104014913320_10,1363392493736
2012-01-04T02:07:53.420+00:00,27.917,130.221,35.0,5.0,mb,103,106,,1.11,pde,pde20120104020753420_35,1363392494145
2012-01-04T02:39:04.000+00:00,-21.883,-68.611,117.8,4.5,mb,37,71,,,pde,pde20120104023904000_117,1363392494432
2012-01-04T03:40:44.330+00:00,38.340,144.326,35.0,4.8,mb,38,136,,0.95,pde,pde20120104034044330_35,1363392494440
2012-01-04T04:16:01.210+00:00,26.870,143.698,10.0,4.9,mb,33,105,,0.88,pde,pde20120104041601210_10,1363392494456
2012-01-04T04:41:03.460+00:00,-11.131,119.053,2.7,4.9,mb,73,46,,1.30,pde,pde20120104044103460_2,1363392494465
2012-01-04T04:47:34.050+00:00,-14.748,167.440,221.6,5.1,mb,190,27,,0.93,pde,pde20120104044734050_221,1363392494478
2012-01-04T05:07:11.600+00:00,-28.952,-176.578,50.1,4.7,mb,39,76,,0.85,pde,pde20120104050711600_50,1363392494644
2012-01-04T05:53:44.140+00:00,26.985,143.802,10.0,4.5,mb,36,115,,0.97,pde,pde20120104055344140_10,1363392494654
2012-01-04T06:46:20.230+00:00,27.005,143.819,10.0,4.0,mb,30,115,,0.76,pde,pde20120104064620230_10,1363392494673
2012-01-04T06:59:56.950+00:00,23.909,121.659,10.0,4.8,mb,50,94,,0.86,pde,pde20120104065956950_10,1363392494680
2012-01-04T12:05:02.510+00:00,26.917,143.354,10.0,4.2,mb,18,137,,0.89,pde,pde20120104120502510_10,1363392495013
2012-01-04T12:48:42.100+00:00,36.582,141.110,10.0,4.4,mb,23,127,,0.55,pde,pde20120104124842100_10,1363392495023
2012-01-04T13:08:11.520+00:00,51.692,95.933,10.0,4.7,mb,70,72,,1.08,pde,pde20120104130811520_10,1363392495030
2012-01-04T14:21:21.580+00:00,31.559,138.015,405.4,4.7,mb,268,96,,0.62,pde,pde20120104142121580_405,1363392495044
